ID,corral,date,notes,sample.type,sample.mass.mg,C_12:0,C_13:0,C_14:0,C_15:0,C_16:0,C_17:0,C_18:0,C_20:0,C_22:0,C_24:0,total_SFAs,C_12:1,C_14:1,C_16:1n-7,C_16:1n-9,C_18:1n-7,C_18:1n-9,C_20:1n-9,C_22:1n-9,total_MUFAs,C_18:2n-6,C_18:3n-6,C_20:2n-6,C_20:3n-6,C_20:4n-6,C_22:2n-6,C_22:4n-6,C_22:5n-6,total_N-6_PUFA,C_18:3n-3,C_18:4n-3,C_20:3n-3,C_20:4n-3,C_20:5n-3,C_22:5n-3,C_22:6n-3,C_24:5n-3,C_24:6n-3,total_N-3_PUFA,PUFAs,HUFAs,EPA+DHA,N-6/N-3,total_FAs
B1,B,"Aug. 15, 2021",,perch,70.9,0.02,0.007,0.623,0.092,2.724,0.112,0.68,0.032,0.014,0.013,4.317,0.006,0.032,1.123,0.174,0.637,1.857,0.042,0.004,3.876,1.077,0.112,0.034,0.039,1.047,0.007,0.103,0.303,2.721,0.791,0.435,0.032,0.108,1.899,0.19,1.814,0.01,0.074,5.353,8.074,5.425,3.713,0.007,16.27
B2,B,"Aug. 15, 2021",,perch,52.8,0.009,0.004,0.308,0.057,1.798,0.078,0.54,0.023,0.011,0.011,2.838,0.002,0.015,0.608,0.1,0.481,0.83,0.029,0.003,2.067,0.446,0.053,0.023,0.024,1.006,0.007,0.118,0.285,1.961,0.316,0.191,0.025,0.058,1.091,0.167,1.52,0.005,0.034,3.408,5.369,4.236,2.611,0.011,10.27
B3,B,"Aug. 15, 2021",,perch,54.8,0.007,0.003,0.318,0.052,1.699,0.062,0.473,0.017,0.009,0.01,2.651,0.001,0.019,0.585,0.087,0.353,0.773,0.022,0.003,1.843,0.365,0.044,0.02,0.018,0.859,0.007,0.093,0.301,1.708,0.259,0.181,0.017,0.055,1.072,0.115,1.65,0.006,0.036,3.391,5.099,4.127,2.722,0.009,9.59
C1,C,"Aug. 21, 2021",,perch,58.4,0.012,0.004,0.378,0.066,2.269,0.084,0.574,0.022,0.011,0.01,3.429,0.002,0.023,0.591,0.131,0.447,1.256,0.026,0.004,2.48,0.442,0.048,0.024,0.023,1.02,0.012,0.105,0.244,1.919,0.379,0.259,0.02,0.08,1.573,0.129,1.626,0.009,0.046,4.122,6.041,4.741,3.199,0.008,11.95
C2,C,"Aug. 21, 2021",,perch,60.7,0.009,0.002,0.177,0.039,1.733,0.08,0.561,0.026,0.008,0.01,2.643,0.003,0.01,0.528,0.096,0.244,0.98,0.021,0.003,1.884,0.537,0.058,0.02,0.031,0.549,0.014,0.068,0.16,1.437,0.546,0.093,0.023,0.042,0.861,0.108,1.281,0.009,0.038,3.002,4.439,3.081,2.142,0.008,8.97
C8,C,"Aug. 21, 2021",,perch,62.6,0.005,0.003,0.258,0.051,1.745,0.066,0.511,0.019,0.009,0.012,2.68,0.001,0.017,0.454,0.092,0.353,0.783,0.023,0.003,1.727,0.39,0.042,0.024,0.02,0.884,0.01,0.08,0.311,1.762,0.298,0.15,0.018,0.054,1.053,0.115,1.889,0.007,0.026,3.61,5.372,4.372,2.942,0.008,9.78
D1,D,"Aug. 17, 2021",,perch,56.3,0.011,0.005,0.487,0.074,2.433,0.091,0.536,0.029,0.014,0.011,3.69,0.002,0.031,0.938,0.151,0.541,1.455,0.043,0.005,3.168,0.578,0.062,0.033,0.031,0.99,0.009,0.117,0.393,2.212,0.484,0.215,0.028,0.072,1.374,0.137,2.078,0.006,0.05,4.444,6.656,5.147,3.451,0.009,13.51
D2,D,"Aug. 17, 2021",,perch,66.2,0.003,0.001,0.139,0.031,1.244,0.046,0.425,0.015,0.007,0.008,1.92,0.001,0.006,0.241,0.063,0.266,0.538,0.014,0.003,1.131,0.245,0.026,0.015,0.014,0.763,0.006,0.078,0.241,1.388,0.184,0.103,0.013,0.04,0.887,0.099,1.418,0.005,0.018,2.767,4.155,3.513,2.305,0.008,7.21
D6,D,"Aug. 17, 2021",,perch,55.6,0.025,0.01,0.838,0.139,3.711,0.192,0.916,0.06,0.027,0.017,5.935,0.008,0.051,1.989,0.276,0.89,2.738,0.069,0.007,6.026,1.271,0.15,0.046,0.059,1.36,0.013,0.146,0.429,3.473,1.239,0.373,0.054,0.117,2.222,0.22,2.345,0.008,0.072,6.648,10.121,6.833,4.566,0.009,22.08
E1,E,"Aug. 18, 2021",,perch,56.9,0.008,0.005,0.438,0.068,2.046,0.074,0.573,0.025,0.012,0.018,3.268,0.002,0.024,0.644,0.119,0.438,1.096,0.034,0.005,2.362,0.596,0.011,0.038,0.025,0.944,0.012,0.081,0.369,2.076,0.445,0.284,0.021,0.084,1.309,0.125,2.019,0.007,0.033,4.328,6.404,4.894,3.328,0.008,12.03
E3,E,"Aug. 18, 2021",,perch,60.2,0.009,0.004,0.413,0.07,2.184,0.08,0.557,0.022,0.01,0.012,3.36,0.001,0.027,0.801,0.112,0.404,1.112,0.033,0.004,2.495,0.502,0.06,0.032,0.028,1.025,0.008,0.111,0.331,2.097,0.38,0.238,0.023,0.084,1.416,0.171,2.171,0.009,0.045,4.535,6.633,5.276,3.587,0.008,12.49
E6,E,"Aug. 18, 2021",,perch,53.3,0.031,0.004,0.499,0.069,3.039,0.1,0.758,0.043,0.013,0.01,4.566,0.008,0.033,1.481,0.18,0.448,2.106,0.042,0.005,4.302,1.044,0.134,0.03,0.052,0.887,0.011,0.123,0.233,2.514,1.128,0.248,0.039,0.073,1.501,0.233,1.734,0.008,0.059,5.021,7.535,4.8,3.235,0.009,16.4
F1,F,"Aug. 20, 2021",,perch,57.9,0.013,0.006,0.521,0.092,2.613,0.101,0.635,0.032,0.016,0.016,4.044,0.003,0.028,0.924,0.176,0.681,1.573,0.036,0.007,3.428,0.786,0.075,0.029,0.034,1.278,0.013,0.121,0.286,2.622,0.527,0.279,0.024,0.075,1.485,0.155,1.624,0.01,0.048,4.228,6.85,5.007,3.11,0.011,14.32
F3,F,"Aug. 20, 2021",,perch,63.3,0.009,0.003,0.279,0.055,2.513,0.099,0.709,0.041,0.017,0.019,3.745,0.003,0.018,1.06,0.17,0.586,2.11,0.044,0.006,3.997,1.065,0.092,0.024,0.055,0.892,0.009,0.094,0.213,2.445,0.728,0.131,0.03,0.055,1.451,0.166,1.518,0.005,0.045,4.129,6.574,4.419,2.969,0.009,14.32
F4,F,"Aug. 20, 2021",,perch,60.5,0.004,0.001,0.158,0.034,1.354,0.048,0.458,0.017,0.008,0.01,2.093,0.001,0.008,0.243,0.063,0.266,0.572,0.017,0.003,1.173,0.324,0.028,0.02,0.016,0.761,0.014,0.077,0.253,1.492,0.183,0.089,0.012,0.034,0.727,0.098,1.443,0.006,0.017,2.607,4.1,3.386,2.17,0.009,7.37
G2,G,"Aug. 23, 2021",,perch,68.2,0.002,0.001,0.152,0.035,1.475,0.057,0.53,0.014,0.008,0.017,2.292,0,0.006,0.215,0.073,0.246,0.527,0.014,0.002,1.082,0.207,0.022,0.018,0.017,0.822,0.008,0.083,0.295,1.472,0.12,0.078,0.011,0.046,0.837,0.105,1.853,0.005,0.02,3.073,4.545,4.023,2.689,0.007,7.92
G3,G,"Aug. 23, 2021",,perch,74.7,0.011,0.005,0.438,0.074,2.458,0.096,0.711,0.031,0.017,0.036,3.875,0.003,0.021,0.805,0.17,0.572,1.574,0.047,0.01,3.202,0.85,0.079,0.04,0.037,1.09,0.011,0.112,0.34,2.558,0.54,0.245,0.031,0.092,1.481,0.176,1.897,0.009,0.039,4.51,7.068,5.163,3.378,0.008,14.15
