"","corral","ID","date.collected","time.collected","body.weight","TL","FL","liver.weight","gonad.weight","sex","MPconcentration","YP.start","YP.end","SS","BB","treatment","FultonK"
"1","B","B1","08-15-2021","11:00 AM",13.1,11.2,10.7,0.298,NA,NA,0,24,4,0,0,"0(1)",0.00932432124635569
"2","B","B2","08-15-2021","2:00 PM",8.3,9.4,9.3,0.159,NA,NA,0,24,4,0,0,"0(1)",0.00999296880267378
"3","B","B3","08-15-2021","2:00 PM",11,10.6,10.3,0.233,NA,NA,0,24,4,0,0,"0(1)",0.00923581211335532
"4","B","B4","08-15-2021","2:00 PM",11.6,10.9,10.5,0.029,NA,NA,0,24,4,0,0,"0(1)",0.00895732836870834
"5","C","C3","2021-08-21","2:00 PM",9.4,10.1,9.5,0.2526,0.0816,"F",414,25,10,1,0,"414",0.00912354739051986
"6","C","C4","2021-08-21","2:00 PM",9.2,10,9.5,0.1118,0.1475,"M",414,25,10,1,0,"414",0.0092
"7","C","C5","2021-08-21","2:00 PM",9.6,9.9,9.4,0.1304,0.2491,"M",414,25,10,1,0,"414",0.0098938574604323
"8","C","C6","2021-08-21","2:00 PM",9.4,10,9.5,0.1593,0.0352,"M",414,25,10,1,0,"414",0.0094
"9","C","C1","2021-08-21","2:00 PM",10.8,10.2,10,0.103,0.0885,"F",414,25,10,1,0,"414",0.0101770812131081
"10","C","C2","2021-08-21","2:00 PM",8.5,9.6,9.4,0.1048,0.0438,"M",414,25,10,1,0,"414",0.00960738570601852
"11","C","C8","2021-08-22","11:00 AM",10.9,10.6,10.2,0.1413,0.1278,"F",414,25,10,1,0,"414",0.00915185018505209
"12","C","C9","2021-08-22","11:00 AM",8.4,9.8,9.3,0.088,NA,NA,414,25,10,1,0,"414",0.00892485273992979
"13","C","C10","2021-08-22","11:00 AM",9.6,10.2,9.7,0.067,NA,NA,414,25,10,1,0,"414",0.00904629441165163
"14","C","C11","2021-08-22","11:00 AM",11.8,10.6,10.3,0.067,NA,NA,414,25,10,1,0,"414",0.00990750753978116
"15","D","D1","08-17-2021","10:00 AM",8.9,10.1,9.5,0.095,0.053,NA,29240,24,9,1,0,"29,240",0.00863825231655604
"16","D","D2","08-17-2021","10:00 AM",10.8,10.5,10,0.074,0.092,"F",29240,24,9,1,0,"29,240",0.00932944606413994
"17","D","D6","08-17-2021","10:00 AM",10.4,10.4,10,0.093,0.054,"M",29240,24,9,1,0,"29,240",0.00924556213017752
"18","D","D7","08-17-2021","10:00 AM",10.2,10.3,9.9,0.075,NA,NA,29240,24,9,1,0,"29,240",0.00933444492540222
"19","D","D9","08-17-2021","10:00 AM",10.6,10.4,9.9,NA,NA,NA,29240,24,9,1,0,"29,240",0.0094233614019117
"20","D","D3","08-17-2021","10:00 AM",9.7,10,9.6,0.967,0.344,"F",29240,24,9,1,0,"29,240",0.0097
"21","D","D4","08-17-2021","10:00 AM",9.8,10.4,10,0.127,0.131,"F",29240,24,9,1,0,"29,240",0.00871216431497497
"22","D","D5","08-17-2021","10:00 AM",9.7,10,9.5,0.182,0.541,"M",29240,24,9,1,0,"29,240",0.0097
"23","D","D8","08-17-2021","10:00 AM",9.4,10.1,9.6,0.455,0.443,"M",29240,24,9,1,0,"29,240",0.00912354739051986
"24","E","E1","08-18-2021","2:30 PM",10.2,10.4,10.1,0.101,0.091,"F",100,22,12,1,0,"100",0.00906776285844333
"25","E","E2","08-18-2021","2:30 PM",8.2,9.6,9.4,0.053,NA,NA,100,22,12,1,0,"100",0.00926830150462963
"26","E","E3","08-18-2021","2:30 PM",8,9.5,9.2,0.087,0.045,"M",100,22,12,1,0,"100",0.00933080623997667
"27","E","E6","08-18-2021","2:30 PM",10.3,10.3,10,0.065,0.022,"M",100,22,12,1,0,"100",0.00942595909133754
"28","E","E9","08-18-2021","3:30 PM",7.8,9.5,9.4,0.053,NA,NA,100,22,12,1,0,"100",0.00909753608397726
"29","E","E10","08-19-2021","10:00 AM",9,10.1,9.6,0.059,NA,NA,100,22,12,1,0,"100",0.0087353113313488
"30","E","E11","08-19-2021","10:00 AM",9.9,10.5,10,0.065,NA,NA,100,22,12,1,0,"100",0.00855199222546161
"31","E","E12","08-19-2021","11:30 AM",9.1,10.1,10.6,0.069,NA,NA,100,22,12,1,0,"100",0.00883237034614156
"32","E","E4","08-18-2021","2:30 PM",7.6,9.4,9.1,0.162,0.036,NA,100,22,12,1,0,"100",0.00915018830124346
"33","E","E5","08-18-2021","2:30 PM",9,9.9,9.6,0.141,0.079,NA,100,22,12,1,0,"100",0.00927549136915528
"34","E","E7","08-18-2021","2:30 PM",8.9,9.9,9.5,0.106,0.109,"F",100,22,12,1,0,"100",0.00917243035394244
"35","E","E8","08-18-2021","3:30 PM",8.2,9.7,9.4,0.077,0.016,"M",100,22,12,1,0,"100",0.00898459798854574
"36","F","F2","08-20-2021","7:30 AM",8.6,9.6,9.3,NA,NA,NA,6,23,9,1,0,"6",0.00972041377314815
"37","F","F4","08-20-2021","7:30 AM",9,10,9.6,0.126,0.125,"F",6,23,9,1,0,"6",0.009
"38","F","F5","08-20-2021","7:30 AM",8.4,9.7,9.5,NA,NA,NA,6,23,9,1,0,"6",0.00920373452485173
"39","F","F6","08-20-2021","7:30 AM",11.3,10.6,10.4,0.091,NA,NA,6,23,9,1,0,"6",0.00948769789826501
"40","F","F7","08-20-2021","7:30 AM",9.4,9.5,9.2,0.068,NA,NA,6,23,9,1,0,"6",0.0109636973319726
"41","F","F8","08-20-2021","7:30 AM",8.1,9.6,9.4,NA,NA,NA,6,23,9,1,0,"6",0.0091552734375
"42","F","F9","08-20-2021","7:30 AM",8.8,9.6,9.3,NA,NA,NA,6,23,9,1,0,"6",0.00994646990740741
"43","F","F1","08-20-2021","7:30 AM",10.1,10.1,9.8,0.098,0.095,"F",6,23,9,1,0,"6",0.00980296049406921
"44","F","F3","08-20-2021","7:30 AM",10.2,10,9.8,0.0132,0.1,"M",6,23,9,1,0,"6",0.0102
"45","G","G1","2021-08-23","10:00 AM",9.6,9.9,9.5,0.0949,0.0385,"F",7071,23,9,4,0,"7,071",0.0098938574604323
"46","G","G2","2021-08-23","10:00 AM",8.7,9.9,9.5,NA,NA,"M",7071,23,9,4,0,"7,071",0.00896630832351677
"47","G","G3","2021-08-23","10:00 AM",10,10.2,9.9,0.087,0.09771,"F",7071,23,9,4,0,"7,071",0.00942322334547045
"48","G","G4","2021-08-23","10:00 AM",9.5,10.1,9.6,-0.198,-0.252,"M",7071,23,9,4,0,"7,071",0.00922060640531262
"49","G","G5","2021-08-23","10:00 AM",10.6,10.1,9.8,0.0819,0.4545,"M",7071,23,9,4,0,"7,071",0.010288255568033
"50","G","G6","2021-08-23","10:30 AM",10.2,10.5,10.1,NA,NA,"F",7071,23,9,4,0,"7,071",0.00881114350502105
"51","G","G9","2021-08-23","5:30 PM",7.17,9.1,NA,0.107,NA,NA,7071,23,9,4,0,"7,071",0.00951469735433025
"52","G","G12","2021-08-24","9:30 AM",7.95,9.5,NA,0.099,NA,NA,7071,23,9,4,0,"7,071",0.00927248870097682
"53","G","G13","2021-08-24","9:30 AM",10.63,9.9,NA,0.06,NA,NA,7071,23,9,4,0,"7,071",0.0109553859171245
"54","H","H1","2021-08-24","2:00 PM",4,7.1,6.9,0.035,NA,NA,0,26,17,0,0,"0(2)",0.0111759627393402
