corral,ID,date.collected,time.collected,body.weight,TL,FL,liver.weight,gonad.weight,sex
B,B1,08-15-2021,11:00 AM,13.1,11.2,10.7,0.298,NA,NA
B,B2,08-15-2021,2:00 PM,8.3,9.4,9.3,0.159,NA,NA
B,B3,08-15-2021,2:00 PM,11,10.6,10.3,0.233,NA,NA
B,B4,08-15-2021,2:00 PM,11.6,10.9,10.5,0.029,NA,NA
C,C3,2021-08-21,2:00 PM,9.4,10.1,9.5,0.2526,0.0816,F
C,C4,2021-08-21,2:00 PM,9.2,10,9.5,0.1118,0.1475,M
C,C5,2021-08-21,2:00 PM,9.6,9.9,9.4,0.1304,0.2491,M
C,C6,2021-08-21,2:00 PM,9.4,10,9.5,0.1593,0.0352,M
C,C1,2021-08-21,2:00 PM,10.8,10.2,10,0.103,0.0885,F
C,C2,2021-08-21,2:00 PM,8.5,9.6,9.4,0.1048,0.0438,M
C,C7,2021-08-21,2:00 PM,NA,NA,NA,NA,NA,NA
C,C8,2021-08-22,11:00 AM,10.9,10.6,10.2,0.1413,0.1278,F
C,C9,2021-08-22,11:00 AM,8.4,9.8,9.3,0.088,NA,NA
C,C10,2021-08-22,11:00 AM,9.6,10.2,9.7,0.067,NA,NA
C,C11,2021-08-22,11:00 AM,11.8,10.6,10.3,0.067,NA,NA
D,D1,08-17-2021,10:00 AM,8.9,10.1,9.5,0.095,0.053,NA
D,D2,08-17-2021,10:00 AM,10.8,10.5,10,0.074,0.092,F
D,D6,08-17-2021,10:00 AM,10.4,10.4,10,0.093,0.054,M
D,D7,08-17-2021,10:00 AM,10.2,10.3,9.9,0.075,NA,NA
D,D9,08-17-2021,10:00 AM,10.6,10.4,9.9,NA,NA,NA
D,D10,08-17-2021,10:00 AM,NA,NA,NA,0.236,NA,NA
D,D3,08-17-2021,10:00 AM,9.7,10,9.6,0.967,0.344,F
D,D4,08-17-2021,10:00 AM,9.8,10.4,10,0.127,0.131,F
D,D5,08-17-2021,10:00 AM,9.7,10,9.5,0.182,0.541,M
D,D8,08-17-2021,10:00 AM,9.4,10.1,9.6,0.455,0.443,M
E,E1,08-18-2021,2:30 PM,10.2,10.4,10.1,0.101,0.091,F
E,E2,08-18-2021,2:30 PM,8.2,9.6,9.4,0.053,NA,NA
E,E3,08-18-2021,2:30 PM,8,9.5,9.2,0.087,0.045,M
E,E6,08-18-2021,2:30 PM,10.3,10.3,10,0.065,0.022,M
E,E9,08-18-2021,3:30 PM,7.8,9.5,9.4,0.053,NA,NA
E,E10,08-19-2021,10:00 AM,9,10.1,9.6,0.059,NA,NA
E,E11,08-19-2021,10:00 AM,9.9,10.5,10,0.065,NA,NA
E,E12,08-19-2021,11:30 AM,9.1,10.1,10.6,0.069,NA,NA
E,E13,08-19-2021,11:30 AM,NA,NA,NA,NA,NA,NA
E,E4,08-18-2021,2:30 PM,7.6,9.4,9.1,0.162,0.036,NA
E,E5,08-18-2021,2:30 PM,9,9.9,9.6,0.141,0.079,NA
E,E7,08-18-2021,2:30 PM,8.9,9.9,9.5,0.106,0.109,F
E,E8,08-18-2021,3:30 PM,8.2,9.7,9.4,0.077,0.016,M
F,F2,08-20-2021,7:30 AM,8.6,9.6,9.3,NA,NA,NA
F,F4,08-20-2021,7:30 AM,9,10,9.6,0.126,0.125,F
F,F5,08-20-2021,7:30 AM,8.4,9.7,9.5,NA,NA,NA
F,F6,08-20-2021,7:30 AM,11.3,10.6,10.4,0.091,NA,NA
F,F7,08-20-2021,7:30 AM,9.4,9.5,9.2,0.068,NA,NA
F,F8,08-20-2021,7:30 AM,8.1,9.6,9.4,NA,NA,NA
F,F9,08-20-2021,7:30 AM,8.8,9.6,9.3,NA,NA,NA
F,F10,08-20-2021,7:30 AM,NA,NA,NA,NA,NA,NA
F,F1,08-20-2021,7:30 AM,10.1,10.1,9.8,0.098,0.095,F
F,F3,08-20-2021,7:30 AM,10.2,10,9.8,0.0132,0.1,M
G,G1,2021-08-23,10:00 AM,9.6,9.9,9.5,0.0949,0.0385,F
G,G2,2021-08-23,10:00 AM,8.7,9.9,9.5,NA,NA,M
G,G3,2021-08-23,10:00 AM,10,10.2,9.9,0.087,0.09771,F
G,G4,2021-08-23,10:00 AM,9.5,10.1,9.6,-0.198,-0.252,M
G,G5,2021-08-23,10:00 AM,10.6,10.1,9.8,0.0819,0.4545,M
G,G6,2021-08-23,10:30 AM,10.2,10.5,10.1,NA,NA,F
G,G7,2021-08-23,11:30 AM,NA,NA,NA,NA,NA,NA
G,G8,2021-08-23,11:30 AM,NA,NA,NA,NA,NA,NA
G,G9,2021-08-23,5:30 PM,7.17,9.1,NA,0.107,NA,NA
G,G10,2021-08-23,5:30 PM,NA,NA,NA,NA,NA,NA
G,G11,2021-08-23,5:30 PM,NA,NA,NA,NA,NA,NA
G,G12,2021-08-24,9:30 AM,7.95,9.5,NA,0.099,NA,NA
G,G13,2021-08-24,9:30 AM,10.63,9.9,NA,0.06,NA,NA
H,H1,2021-08-24,2:00 PM,4,7.1,6.9,0.035,NA,NA
H,H2,2021-08-24,2:00 PM,3.1,6.8,6.5,NA,NA,NA
H,H3,2021-08-24,2:00 PM,4.3,7.5,7.2,NA,NA,NA
H,H4,2021-08-24,2:00 PM,7.6,9.5,9,0.0854,0.0417,F
H,H12,2021-08-24,2:00 PM,9.4,9.5,9.2,0.1267,0.0153,M
H,H6,2021-08-24,2:00 PM,7.5,9.4,9,0.0848,0.0661,F
H,H7,2021-08-24,2:00 PM,8.9,9.9,9.5,0.098,0.0835,M
H,H8,2021-08-24,2:00 PM,8.8,9.5,9.2,0.0418,0.0978,M
H,H15,2021-08-24,2:00 PM,9.6,9.9,9.5,0.1163,0.0594,F
H,H10,2021-08-24,2:00 PM,8.6,9.5,9.1,0.0969,0.059,M
H,H11,2021-08-24,2:00 PM,7.5,9.4,9,0.082,NA,NA
H,H16,2021-08-24,2:00 PM,10.6,10.2,9.9,0.0951,-0.056,M
H,H13,2021-08-24,2:00 PM,7.7,9.1,8.7,0.061,NA,NA
H,H14,2021-08-24,2:00 PM,7.9,9.2,8.9,0.066,NA,NA
H,H5,2021-08-24,2:00 PM,9.3,9.6,9.4,0.1102,0.0687,M
H,H9,2021-08-24,2:00 PM,9.5,9.9,9.5,0.1383,0.1509,F
H,H17,2021-08-24,3:00 PM,4,7.4,7,0.04,NA,NA
I,I1,08-18-2021,4:00 PM,NA,NA,NA,NA,NA,NA
I,I2,08-20-2021,2:00 PM,9.74,10.4,NA,0.09,NA,NA
I,I3,08-20-2021,2:00 PM,8.53,9.6,NA,0.068,NA,NA
I,I4,08-20-2021,4:00 PM,NA,NA,NA,NA,NA,NA
I,I5,08-20-2021,4:00 PM,NA,NA,NA,NA,NA,NA
I,I6,08-20-2021,4:00 PM,10.7,10.3,9.8,0.111,0.108,F
I,I7,08-20-2021,4:00 PM,9.2,10.1,9.5,0.0706,0.0393,M
I,I8,08-20-2021,4:00 PM,8.1,9.8,9.3,0.0844,0.0653,F
I,I9,08-20-2021,4:00 PM,10.1,10.7,9.9,0.038,NA,NA
I,I10,08-20-2021,4:00 PM,8.52,9.9,NA,0.039,NA,NA
I,I11,2021-08-21,12:30 PM,9.96,10.4,NA,0.023,NA,NA
I,I12,2021-08-21,12:30 PM,10.8,10.3,10.1,0.0819,0.102,F
