mp_conc,corral,day,date_sampled,order,biomass_ug_l
0,B,-1,2021-06-01,Calanoida,15.64036524
0,B,-1,2021-06-01,Cladocera,37.9285758
0,B,-1,2021-06-01,Cyclopoida,26.56589321
0,B,5,2021-06-07,Calanoida,13.5047297
0,B,5,2021-06-07,Cladocera,5.793794693
0,B,5,2021-06-07,Cyclopoida,0.928249842
0,B,12,2021-06-14,Calanoida,13.3114674
0,B,12,2021-06-14,Cladocera,27.75225139
0,B,12,2021-06-14,Cyclopoida,3.583433497
0,B,19,2021-06-21,Calanoida,10.32167377
0,B,19,2021-06-21,Cladocera,25.756291
0,B,19,2021-06-21,Cyclopoida,10.57815715
0,B,33,2021-07-05,Calanoida,4.568758871
0,B,33,2021-07-05,Cladocera,18.0123649
0,B,33,2021-07-05,Cyclopoida,1.925832368
0,B,54,2021-07-26,Calanoida,3.252184898
0,B,54,2021-07-26,Cladocera,17.92327908
0,B,54,2021-07-26,Cyclopoida,4.563326341
0,B,68,2021-08-09,Calanoida,9.706847027
0,B,68,2021-08-09,Cladocera,30.11795384
0,B,68,2021-08-09,Cyclopoida,8.685259504
0,H,-1,2021-06-01,Calanoida,18.28343229
0,H,-1,2021-06-01,Cladocera,51.16629657
0,H,-1,2021-06-01,Cyclopoida,2.677830519
0,H,5,2021-06-07,Calanoida,6.858570837
0,H,5,2021-06-07,Cladocera,11.15162874
0,H,5,2021-06-07,Cyclopoida,0.112045959
0,H,12,2021-06-14,Calanoida,2.912147238
0,H,12,2021-06-14,Cladocera,7.095856048
0,H,12,2021-06-14,Cyclopoida,0.110590817
0,H,19,2021-06-21,Calanoida,6.243065035
0,H,19,2021-06-21,Cladocera,13.01830866
0,H,19,2021-06-21,Cyclopoida,1.368508975
0,H,33,2021-07-05,Calanoida,7.698786603
0,H,33,2021-07-05,Cladocera,13.78051694
0,H,33,2021-07-05,Cyclopoida,0.63605888
0,H,54,2021-07-26,Calanoida,2.544258154
0,H,54,2021-07-26,Cladocera,11.9275446
0,H,54,2021-07-26,Cyclopoida,1.777456348
0,H,68,2021-08-09,Calanoida,10.03279891
0,H,68,2021-08-09,Cladocera,18.43257889
0,H,68,2021-08-09,Cyclopoida,7.687031867
6,F,-1,2021-06-01,Calanoida,23.5120961
6,F,-1,2021-06-01,Cladocera,57.24733636
6,F,-1,2021-06-01,Cyclopoida,15.68602685
6,F,5,2021-06-07,Calanoida,6.79419534
6,F,5,2021-06-07,Cladocera,55.77987383
6,F,5,2021-06-07,Cyclopoida,0.647693551
6,F,12,2021-06-14,Calanoida,4.765941872
6,F,12,2021-06-14,Cladocera,9.343177864
6,F,12,2021-06-14,Cyclopoida,1.379504032
